,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls
0,2022-01-22,JJ Roy,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,6,
1,2022-01-22,T Banton,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,4,
2,2022-01-22,MM Ali,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,0,
3,2022-01-22,JM Vince,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,14,
4,2022-01-22,EJG Morgan,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,17,
5,2022-01-22,SW Billings,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,2,
6,2022-01-22,LA Dawson,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,2,
7,2022-01-22,CJ Jordan,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,28,
8,2022-01-22,AU Rashid,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,22,
9,2022-01-22,S Mahmood,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,5,
10,2022-01-22,BA King,West Indies,England,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,52,
11,2022-01-22,SD Hope,West Indies,England,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,20,
12,2022-01-22,N Pooran,West Indies,England,"Kensington Oval, Bridgetown, Barbados",,0,0,0,0,0,0,27,
13,2022-01-23,JJ Roy,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,6,100,0,0,0,45,
14,2022-01-23,T Banton,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,4,80,0,0,0,25,
15,2022-01-23,JM Vince,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,14,116.6666667,0,0,0,4,
16,2022-01-23,MM Ali,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,0,0,0,0,1,31,
17,2022-01-23,SW Billings,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,2,50,0,0,0,5,
18,2022-01-23,EJG Morgan,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,17,53.125,0,0,0,13,
19,2022-01-23,CJ Jordan,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,28,121.7391304,0,0,0,27,
20,2022-01-23,LA Dawson,England,West Indies,"Kensington Oval, Bridgetown, Barbados",,1,2,22.22222222,0,0,0,4,
