date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
2021-01-07,JJ Bumrah,India,Australia,Sydney Cricket Ground,,0,0,0,0,0,3
,Mohammed Siraj,India,Australia,Sydney Cricket Ground,,0,0,0,0,0,1
,R Ashwin,India,Australia,Sydney Cricket Ground,,0,0,0,0,0,0
,NA Saini,India,Australia,Sydney Cricket Ground,,0,0,0,0,0,2
,RA Jadeja,India,Australia,Sydney Cricket Ground,,0,0,0,0,0,4
,MA Starc,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,2
,JR Hazlewood,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,2
,PJ Cummins,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,4
,NM Lyon,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,1
,M Labuschagne,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,0
,C Green,Australia,India,Sydney Cricket Ground,,0,0,0,0,0,1
2021-01-15,Mohammed Siraj,India,Australia,Brisbane Cricket Ground,,1,67,151,2.662251656,0,1
,T Natarajan,India,Australia,Brisbane Cricket Ground,,0,0,0,0,0,3
,SN Thakur,India,Australia,Brisbane Cricket Ground,,0,0,0,0,0,3
,NA Saini,India,Australia,Brisbane Cricket Ground,,1,32.5,40.5,4.814814815,0,0
,Washington Sundar,India,Australia,Brisbane Cricket Ground,,0,0,0,0,0,3
,RG Sharma,India,Australia,Brisbane Cricket Ground,,0,0,0,0,0,0
,MA Starc,Australia,India,Brisbane Cricket Ground,,1,31,58,3.206896552,0,2
,JR Hazlewood,Australia,India,Brisbane Cricket Ground,,1,21.5,63.5,2.031496063,0,5
,PJ Cummins,Australia,India,Brisbane Cricket Ground,,1,7.25,32.5,1.338461538,1,2
,C Green,Australia,India,Brisbane Cricket Ground,,1,12,30,2.4,0,0
,NM Lyon,Australia,India,Brisbane Cricket Ground,,1,87,186,2.806451613,0,1
,M Labuschagne,Australia,India,Brisbane Cricket Ground,,1,0,0,3.666666667,0,0
2021-01-08,Imad Wasim,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,KW Richardson,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,P Hatzoglou,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,3
,Noor Ahmad,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,0
,JA Prestwidge,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,2
,Mohammad Nabi,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,0
,HNA Conway,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,0
,PM Siddle,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,0
,WA Agar,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,1
,MT Renshaw,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,0
,DR Briggs,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,1
,Rashid Khan,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,0,0,0,0,0,2
2021-01-24,SA Abbott,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,2
,BJ Dwarshuis,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,3
,CR Brathwaite,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,0
,JT Ball,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,2
,BAD Manenti,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,0
,DT Christian,Sydney Sixers,Hobart Hurricanes,Melbourne Cricket Ground,,0,0,0,0,0,1
,NP Winter,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,0
,RP Meredith,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,1
,SM Boland,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,2
,NT Ellis,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,3
,S Lamichhane,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,2
,DJM Short,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,,0,0,0,0,0,0
2021-01-06,JM Bird,Sydney Sixers,Perth Scorchers,Perth Stadium,,0,0,0,0,0,0
,SNJ O'Keefe,Sydney Sixers,Perth Scorchers,Perth Stadium,,0,0,0,0,0,2
,JT Ball,Sydney Sixers,Perth Scorchers,Perth Stadium,,1,22,14,9.428571429,0,0
,BJ Dwarshuis,Sydney Sixers,Perth Scorchers,Perth Stadium,,1,13.33333333,8,10,0,0
,DT Christian,Sydney Sixers,Perth Scorchers,Perth Stadium,,1,23,18,7.666666667,0,0
,CR Brathwaite,Sydney Sixers,Perth Scorchers,Perth Stadium,,1,0,0,9,0,0
,L Pope,Sydney Sixers,Perth Scorchers,Perth Stadium,,0,0,0,0,0,2
,JA Richardson,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,3
,JP Behrendorff,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,1
,Fawad Ahmed,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,1
,AM Hardie,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,0
,AJ Tye,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,4
,MR Marsh,Perth Scorchers,Sydney Sixers,Perth Stadium,,0,0,0,0,0,1
2021-01-02,XC Bartlett,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,1
,JD Wildermuth,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,0
,MT Steketee,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,4
