player_name,team,innings,runs,balls,average,strike_rate,centuries,fifties,zeros
JJ Roy,England,43,1176,993,27.34883721,96.1154016,2,7,7
T Banton,England,33,817,899,24.75757576,92.28891701,1,4,2
MM Ali,England,62,1437,1106,23.17741935,113.5957,0,7,6
JM Vince,England,58,1785,1831,30.77586207,94.77065364,3,10,7
EJG Morgan,England,15,206,188,13.73333333,77.22674956,0,0,4
SW Billings,England,47,989,1056,21.04255319,102.5979143,0,3,3
LA Dawson,England,44,789,1178,17.93181818,110.212169,1,2,2
CJ Jordan,England,29,352,248,12.13793103,128.4806396,0,1,3
AU Rashid,England,12,53,64,4.416666667,66.21082621,0,0,4
S Mahmood,England,6,89,180,14.83333333,67.27443931,0,0,1
BA King,West Indies,45,1236,1175,27.46666667,88.94143451,1,10,4
SD Hope,West Indies,34,995,1232,29.26470588,82.74452405,3,4,1
N Pooran,West Indies,65,1507,1417,23.18461538,95.32312054,0,11,4
DM Bravo,West Indies,13,196,234,15.07692308,73.76923375,0,0,0
KA Pollard,West Indies,41,662,614,16.14634146,107.9034482,0,1,2
JO Holder,West Indies,45,605,764,13.44444444,94.82209714,0,1,6
R Shepherd,West Indies,31,477,440,15.38709677,95.97753131,0,1,1
OF Smith,West Indies,33,444,315,13.45454545,129.3346033,0,0,4
FA Allen,West Indies,23,244,251,10.60869565,75.68264417,0,1,5
AJ Hosein,West Indies,35,436,479,12.45714286,87.61759886,0,1,1
R Powell,West Indies,53,1155,913,21.79245283,106.2192586,1,5,2
LS Livingstone,England,52,1171,846,22.51923077,119.4591594,0,7,3
HC Brook,England,57,2208,2094,38.73684211,115.0501952,6,8,2
PD Salt,England,57,1671,1402,29.31578947,126.3528315,1,9,1
GHS Garton,England,13,212,180,16.30769231,121.076413,0,1,1
TS Mills,England,10,22,32,2.2,61,0,0,4
RJW Topley,England,12,26,48,2.166666667,52.31150794,0,0,3
KR Mayers,West Indies,47,1366,1347,29.06382979,94.60166829,3,6,3
AZ Lees,England,19,620,1341,32.63157895,59.10946488,1,2,0
Z Crawley,England,33,739,1174,22.39393939,62.25279334,1,3,3
JE Root,England,27,911,1327,33.74074074,59.88002623,3,2,5
DW Lawrence,England,27,697,1037,25.81481481,75.03779126,1,4,2
BA Stokes,England,30,998,1146,33.26666667,84.40806306,3,3,1
JM Bairstow,England,29,1135,1296,39.13793103,91.61975331,4,4,3
BT Foakes,England,19,836,1734,44,42.33818535,2,5,1
CR Woakes,England,9,165,265,18.33333333,87.49837557,0,0,1
C Overton,England,17,262,354,15.41176471,86.9865619,0,0,3
MA Wood,England,5,127,145,25.4,84.26533719,0,0,0
MJ Leach,England,18,177,420,9.833333333,52.46455148,0,0,5
KC Brathwaite,West Indies,7,460,1204,65.71428571,43.21773376,1,4,0
JD Campbell,West Indies,5,143,271,28.6,81.89745557,0,0,0
SSJ Brooks,West Indies,42,1200,1516,28.57142857,65.10012487,2,5,7
NE Bonner,West Indies,9,219,614,24.33333333,34.82953924,1,0,2
J Blackwood,West Indies,9,293,676,32.55555556,50.4749135,1,1,0
J Da Silva,West Indies,8,237,642,29.625,37.64808324,1,0,1
AS Joseph,West Indies,36,315,502,8.75,63.39767497,0,0,9
KAJ Roach,West Indies,15,132,457,8.8,21.5607445,0,0,5
V Permaul,West Indies,2,31,109,15.5,26.3061651,0,0,0
JNT Seales,West Indies,10,41,134,4.1,35.17181633,0,0,4
MD Fisher,England,3,18,64,6,18.72571873,0,0,1
DA Warner,Australia,47,1721,1753,36.61702128,96.33401662,2,13,4
MS Harris,Australia,24,1309,2328,54.54166667,55.98898182,4,8,2
M Labuschagne,Australia,42,1464,2438,34.85714286,62.16890108,5,4,3
SPD Smith,Australia,32,1432,2365,44.75,74.246865,3,9,2
UT Khawaja,Australia,18,1104,2306,61.33333333,52.41456869,2,10,0
C Green,Australia,28,801,1211,28.60714286,82.90635646,0,7,0
AT Carey,Australia,34,1150,1567,33.82352941,75.81522563,1,7,1
PJ Cummins,Australia,26,272,288,10.46153846,91.74376923,0,1,6
MA Starc,Australia,17,183,410,10.76470588,46.89508832,0,0,1
NM Lyon,Australia,12,143,174,11.91666667,91.04243325,0,0,1
H Hameed,England,23,1154,1747,50.17391304,64.32466658,5,5,0
DJ Malan,England,48,1810,1795,37.70833333,110.0956507,3,11,4
JC Buttler,England,48,1973,1409,41.10416667,122.9510178,5,12,3
SCJ Broad,England,12,177,199,14.75,72.1813311,0,0,1
JM Anderson,England,10,44,83,4.4,47.43745728,0,0,3
TM Head,Australia,27,1269,1452,47,77.0902401,4,7,2
SM Boland,Australia,9,65,152,7.222222222,39.76844795,0,0,2
RJ Burns,England,20,666,1309,33.3,59.75893329,3,0,2
OJ Pope,England,24,1322,1834,55.08333333,76.26364599,4,9,1
AJ Finch,Australia,52,1252,1191,24.07692308,89.74126693,0,10,6
BR McDermott,Australia,49,1389,1522,28.34693878,91.06138318,1,11,6
JP Inglis,Australia,22,561,431,25.5,113.7127208,0,3,1
GJ Maxwell,Australia,52,1275,918,24.51923077,126.9806444,1,4,3
MP Stoinis,Australia,48,945,689,19.6875,118.9504362,0,3,4
MS Wade,Australia,46,1178,1081,25.60869565,116.6480642,1,5,1
A Zampa,Australia,16,78,111,4.875,58.97082085,0,0,4
JR Hazlewood,Australia,11,48,53,4.363636364,74.25964187,0,0,3
P Nissanka,Sri Lanka,46,1523,1622,33.10869565,85.96374886,1,12,2
MD Gunathilaka,Sri Lanka,19,254,251,13.36842105,79.12008965,0,1,4
WIA Fernando,Sri Lanka,12,350,288,29.16666667,130.4465852,0,3,0
KIC Asalanka,Sri Lanka,45,1068,1074,23.73333333,85.79428803,1,6,4
PWH de Silva,Sri Lanka,34,436,340,12.82352941,112.8187201,0,2,2
MD Shanaka,Sri Lanka,40,855,727,21.375,97.85427983,1,2,5
LD Chandimal,Sri Lanka,30,1098,1477,36.6,89.90815878,2,5,2
C Karunaratne,Sri Lanka,34,454,432,13.35294118,103.4638805,0,1,5
PVD Chameera,Sri Lanka,19,113,116,5.947368421,101.1403509,0,0,3
B Fernando,Sri Lanka,3,9,7,3,191.6666667,0,0,0
M Theekshana,Sri Lanka,20,100,179,5,65.23127798,0,0,5
BKG Mendis,Sri Lanka,47,1344,1461,28.59574468,83.22953364,0,13,3
AC Agar,Australia,17,256,293,15.05882353,93.10728799,0,1,3
JDF Vandersay,Sri Lanka,10,40,75,4,82.4057971,0,0,1
DR Sams,Australia,41,539,364,13.14634146,112.1365273,0,3,5
K Mishara,Sri Lanka,3,15,19,5,55.55555556,0,0,0
J Liyanage,Sri Lanka,3,28,45,9.333333333,66.98773076,0,0,0
KR Patterson,Perth Scorchers,23,633,811,27.52173913,87.34791549,1,3,2
NR Hobson,Perth Scorchers,7,112,97,16,82.66474266,0,0,0
LJ Evans,Perth Scorchers,31,687,498,22.16129032,116.6871776,0,3,2
AJ Turner,Perth Scorchers,24,576,375,24,145.3288336,0,3,0
AM Hardie,Perth Scorchers,24,459,548,19.125,115.0017936,0,1,1
NCR Larkin,Melbourne Stars,9,95,105,10.55555556,75.77008761,0,0,0
BJ Webster,Melbourne Stars,18,565,685,31.38888889,68.28453696,1,2,2
JA Burns,Melbourne Stars,13,415,968,31.92307692,58.52628512,0,3,0
